time,price_import,price_export,commitment_i,commitment_e
1,31.5,31.5,0.0296429787795732,0.0
2,59.89,59.89,0.029177804146555544,0.0
3,29.32,29.32,0.022830184941688245,0.0
4,25.32,25.32,0.02472751139761628,0.0
5,14,14,0.024504081062070887,0.0
6,9.8,9.8,0.02336128983765282,0.0
7,14,14,0.021760649564987543,0.0
8,12.14,12.14,0.02297669663712628,0.0
9,9.8,9.8,0.02441251125242335,0.0
10,0,0,0.020236927932428164,0.0
11,9.8,9.8,0.024038906429054693,0.0
12,9.8,9.8,0.030672223440027607,0.0
13,31.52,31.52,0.03347059682290218,0.0
14,31.52,31.52,0.03384053885388341,0.0
15,36.55,36.55,0.017687624431802537,0.0
16,37.8,37.8,0.027654082513999093,0.0
17,59,59,0.0,0.0453160673990977
18,14,14,0.0,0.04527577668285214
19,38.48,38.48,0.0,0.10545545558417721
20,58.65,58.65,0.0,0.11838144991423057
21,50,50,0.0,0.16637135575507836
22,37.73,37.73,0.0,0.17268600982847312
23,58.5,58.5,0.0,0.20108363919681813
24,58.5,58.5,0.0,0.2077242817925633
25,39.64,39.64,0.0,0.20508707127467793
26,39.65,39.65,0.0,0.18981688981761088
27,38.61,38.61,0.0,0.1639978662889715
28,45,45,0.0,0.16986199689889467
29,38.11,38.11,0.0,0.11267481937690371
30,38.1,38.1,0.0,0.1266959886303595
31,39.62,39.62,0.0,0.0684026478078017
32,39.25,39.25,0.0,0.05557921166455703
33,39.18,39.18,0.001692210082312445,0.0
34,58.45,58.45,0.013457099226017216,0.0
35,58.69,58.69,0.05467450194522307,0.0
36,68,68,0.06397433181317379,0.0
37,68,68,0.07733986122954384,0.0
38,69.9,69.9,0.10254719842972161,0.0
39,71.9,71.9,0.07864381531894561,0.0
40,71.9,71.9,0.07324119654965419,0.0
41,74.25,74.25,0.06829642682860922,0.0
42,69.9,69.9,0.06517206492338383,0.0
43,36.2,36.2,0.06057892327138993,0.0
44,33,33,0.05566711868181824,0.0
45,30.55,30.55,0.0579746778849738,0.0
46,32,32,0.050887174618141844,0.0
47,31.7,31.7,0.04664566103519901,0.0
48,31.7,31.7,0.04281071740709921,0.0
