,Instance Size,Prices,Solver,Method,CPU Time,Objective Cost
0,10,Different,gurobi,MI,1.1698972,-4.184411821950143
0,10,Different,gurobi,MI,1.1524679,-4.184411821950143
0,10,Different,gurobi,LP,0.7576038,-4.184411464931609
0,10,Different,glpk,LP,1.6898659999999999,-4.184361862960362
0,10,Different,cbc,MI,55.0422155,-4.184286853711688
0,10,Different,amplxpress,LP,1.3400119999999998,-4.18440876675363
0,10,Different,amplxpress,LP,1.2867818999999998,-4.18440876675363
0,10,Different,amplxpress,MI,1.1457257,-4.184385558005978
0,10,Equal,amplxpress,MI,1.1897304,-4.960033937383088
0,10,Equal,amplxpress,MI,1.4661662999999998,-4.960033937383088
0,10,Equal,amplxpress,MI,1.2121468000000002,-4.960033937383088
0,10,Equal,amplxpress,MILP,1.12281,-4.960033937383088
0,10,Equal,gurobi,MILP,1.7081410000000001,-4.9600584908921705
0,10,Equal,gurobi,MILP,1.6268030000000002,-4.9600584908921705
0,10,Different,gurobi,MILP,1.0944373,-4.184411821950143
0,10,Different,gurobi,MILP,1.2337822000000003,-4.184411821950143
0,10,Different,amplxpress,MILP,1.9271696999999999,-4.184385558005978
0,10,Different,glpk,MILP,34.654567199999995,-4.1843614711236405
0,10,Different,cbc,MILP,52.8617488,-4.184286853711688
0,10,Different,gurobi,Lagrangian_Decomposition,1.2351358999999995,-4.184411821950143
0,10,Different,gurobi,MILP,1.8290393999999996,-4.184411821950143
0,10,Different,gurobi,LP_relaxation,0.7519909,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.8200779,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7936481,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7466808,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.9490098000000025,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.8673030999999973,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7414157000000001,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7915578999999999,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7385719,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7239754,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7865786000000001,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.823396,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.7822274,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.8235193999999999,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,1.4076973000000002,-4.184411464931609
0,100,Different,gurobi,MILP,1.8810639999999998,-12.253622434744592
0,100,Different,gurobi,LP_relaxation,1.768429,-12.25357096107162
0,100,Different,gurobi,LP_relaxation,1.6222967,-12.25357096107162
0,100,Different,glpk,LP_relaxation,4.2821696,-12.253511644603874
0,10,Different,gurobi,LP_relaxation,0.8028458,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.8376614999999994,-4.184411464931609
0,10,Different,gurobi,LP_relaxation,0.8117696999999993,-4.184411464931609
0,10,Different,gurobi,MILP,1.2338278,-4.184411821950143
0,10,Different,gurobi,LP_relaxation,0.819052599999992,-4.184411464931609
0,10,Different,gurobi,MILP,1.1524450000000002,-4.184411821950143
0,10,Different,gurobi,LP_relaxation,0.8172501999999895,-4.184411464931609
0,10,Different,gurobi,MILP,1.1882827000000002,-4.184411821950143
0,10,Different,gurobi,MILP,1.183422300000018,-4.184411821950143
0,10,Different,gurobi,MILP,1.2304717000000096,-4.184411821950143
0,10,Different,gurobi,MILP,1.4078704000000357,-4.184411821950143
0,10,Different,gurobi,MILP,1.2830028000000002,-4.184411821950143
0,10,Different,gurobi,LP_relaxation,0.8175034999999999,-4.184411464931609
0,100,Different,gurobi,LP_relaxation,1.5796764000000003,-12.25357096107162
0,100,Different,gurobi,LP_relaxation,1.6866248000000006,-12.25357096107162
0,100,Different,gurobi,LP_relaxation,1.5520613,-12.25357096107162
0,100,Different,gurobi,LP_relaxation,1.8258143999999996,-12.25357096107162
0,10,Different,gurobi,LP_relaxation,1.4778867999999998,-4.184411464931609
0,100,Different,gurobi,MILP,1.9392718999999998,-12.253622434744592
0,100,Different,gurobi,MILP,1.8424667,-12.253622434744592
0,100,Different,cbc,MILP,64.0195257,-12.253283565255916
